"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4001_202411.csv"
"C","Report for: 11 2024"
"C","Report generated: 03/08/2025 14:30:31 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4001,"11/06/2024",19,"ON",47.39,7.39,0.38,0.09,0.22,0.98,0.01,0.05,-0.28,-0.18,0,,0.48,0.47,0.23,0,,57.23,1333.571
"D",4001,"11/06/2024",20,"ON",41.41,7.39,0.38,0.09,0.03,1.02,0,-0.07,-0.27,-0.18,0,,0.48,0.47,0.23,0,,50.98,1274.328
"D",4001,"11/06/2024",21,"ON",50.57,7.39,0.38,0.09,0,1.07,0,-0.02,-0.22,-0.18,0,,0.48,0.47,0.23,0,,60.26,1203.446
"D",4001,"11/06/2024",22,"ON",49.98,7.39,0.38,0.09,0.45,1.15,0.01,-0.08,-0.32,-0.18,0,,0.48,0.47,0.23,0,,60.05,1105.367
"D",4001,"11/06/2024",23,"ON",33.49,7.39,0.38,0.09,0.44,1.25,0.12,0,-0.12,-0.18,0,,0.48,0.47,0.23,0,,44.04,1016.38
"D",4001,"11/06/2024",24,"OFF",28.05,7.39,0.38,0.09,0.4,0,0,0.01,-0.06,-0.18,0,,0.48,0.47,0.23,0,,37.26,949.954
"D",4001,"11/07/2024",01,"OFF",24.41,7.39,0.61,0.13,0.01,0,0,0,-0.17,-0.18,0,,0.48,0.47,0.23,0,,33.38,914.087
"D",4001,"11/07/2024",02,"OFF",24.19,7.39,0.61,0.13,0,0,0,0,-0.23,-0.18,0,,0.48,0.47,0.23,0,,33.09,881.894
"D",4001,"11/07/2024",03,"OFF",22.8,7.39,0.61,0.13,0,0,0,-0.02,-0.2,-0.18,0,,0.48,0.47,0.23,0,,31.71,870.661
"D",4001,"11/07/2024",04,"OFF",22.1,7.39,0.61,0.13,0,0,0,0,-0.22,-0.18,0,,0.48,0.47,0.23,0,,31.01,874.062
"D",4001,"11/07/2024",05,"OFF",20.77,7.39,0.61,0.13,0,0,0,0.03,-0.27,-0.18,0,,0.48,0.47,0.23,0,,29.66,920.953
